symbol,mc_link
ONGC,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/oilnaturalgascorporation/ONG
HDFCBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01
INFY,https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT
PNB,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05
SBIN,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI
TCS,https://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS
MRF,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF
YESBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/yesbank/YB
EDELWEISS,https://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01
IBULHSGFIN,https://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01
IDEA,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/vodafoneidealimited/IC8
PARLEIND,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/parleindustries/PS13
IRCON,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/irconinternational/II07
UNIONBANK,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/unionbankindia/UBI01
INDUSINDBNK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB
NESCO,https://www.moneycontrol.com/india/stockpricequote/diversified/nesco/NES
MUTHOOTFIN,https://www.moneycontrol.com/india/stockpricequote/finance-investments/muthootfinance/MF10
TATAMOTORS,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03
TRIDENT,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/trident/AI01
BHARTIARTL,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08
GRAPHITE,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13
IOC,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
JISLJALEQS,https://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02
STRTECH,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/sterlitetechnologies/ST20
FEDERALBNK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB
KTKBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/karnatakabank/KB04
CMICABLES,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/cmi/CMI
IOB,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/indianoverseasbank/IOB
KOTAKBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB
WIPRO,https://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W
PVR,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR
BRITANNIA,https://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI
SUNPHARMA,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=SUNPHARMA
KEI,http://www.moneycontrol.com/stocks/cptmarket/compsearchnew.php?search_data=&cid=&mbsearch_str=&topsearch_type=1&search_str=KEI
THROCARE,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedical-services/thyrocaretechnologies/TT16
BPCL,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BHEL,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE
BEL,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
MARUTI,https://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/marutisuzukiindia/MS24
ASHOKLEY,https://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/ashokleyland/AL
SPICEJET,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01
CIPLA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
AXISBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
TATACHEM,https://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC
INDIGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
